soa,condition,block_type,v,a,v_star,a_star
250,0,fixed,2.968286129188298,0.798829096888232,2.975681595040167,0.8063985854850054
250,0,varying,3.0234739968186144,0.8718911007347568,2.975681595040167,0.8063985854850054
250,1,fixed,3.125840874610976,1.0152497852672073,3.1341462788087853,1.0240763413809206
250,1,varying,3.085825369889703,0.9577123387822887,3.1341462788087853,1.0240763413809206
1000,0,fixed,2.9681678242166516,0.7988109888019579,2.975681595040167,0.8063985854850054
1000,0,varying,3.007396940560737,0.8498878935445913,2.975681595040167,0.8063985854850054
1000,1,fixed,3.12627651005008,1.0160080622223528,3.1341462788087853,1.0240763413809206
1000,1,varying,3.102192695077217,0.9801769128589503,3.1341462788087853,1.0240763413809206
