condition,block_type,v,a,v_star,a_star
0,fixed,2.7150459645435787,0.60541559809953,2.722359726196659,0.6128037916587071
0,varying,2.9033244769960707,0.7255747334822787,2.722359726196659,0.6128037916587071
1,fixed,3.5568138821201933,1.1414477445005318,3.564936269811482,1.149342351814815
1,varying,3.4098517809864726,1.0479310416874077,3.564936269811482,1.149342351814815
2,fixed,3.239158101111205,0.9163017797922477,3.2469660063538885,0.9239945407064016
2,varying,3.24240469816305,0.9224191011378522,3.2469660063538885,0.9239945407064016
