incorrectC1,incorrectC2,uniqueid,bonus,workerid
0.0,0.0,5ef3832ddd7d5a0f19b24f20:TSS_RECONF_111022,0.0,5ef3832ddd7d5a0f19b24f20
0.0,0.0,6341d2f1a1ebb448ed9b6fc8:TSS_RECONF_111022,0.0,6341d2f1a1ebb448ed9b6fc8
0.0,0.0,5c439193f114f2000195658e:TSS_RECONF_111022,0.0,5c439193f114f2000195658e
0.0,0.0,6318c6b8dd3d07c0fb9f0d18:TSS_RECONF_111022,0.0,6318c6b8dd3d07c0fb9f0d18
0.0,0.0,636150f0d9ba0cba57b0847a:TSS_RECONF_111022,0.0,636150f0d9ba0cba57b0847a
0.0,0.0,6266d7c7bfe6d9d74ff4e76f:TSS_RECONF_111022,0.0,6266d7c7bfe6d9d74ff4e76f
0.0,0.0,630caf1e86e49cd599f4b53a:TSS_RECONF_111022,0.0,630caf1e86e49cd599f4b53a
0.0,0.0,63106ea4e8fe9c6cd32bf358:TSS_RECONF_111022,0.0,63106ea4e8fe9c6cd32bf358
0.0,0.0,5d46665905b29200188e52b4:TSS_RECONF_111022,0.0,5d46665905b29200188e52b4
0.0,0.0,63039dbefda87c47a91fec04:TSS_RECONF_111022,0.0,63039dbefda87c47a91fec04
0.0,0.0,632e9aa62793c18a857aece4:TSS_RECONF_111022,0.0,632e9aa62793c18a857aece4
0.0,0.0,62eecc131c4b40e5a9fdb8c0:TSS_RECONF_111022,0.0,62eecc131c4b40e5a9fdb8c0
0.0,0.0,626810ad271afa9ad1c19e33:TSS_RECONF_111022,0.0,626810ad271afa9ad1c19e33
0.0,0.0,60da65c630ff4389c297b03c:TSS_RECONF_111022,0.0,60da65c630ff4389c297b03c
0.0,0.0,59c3a1c8c458e800017b5bf8:TSS_RECONF_111022,0.0,59c3a1c8c458e800017b5bf8
0.0,0.0,636149119f0c3ee5c09c95d6:TSS_RECONF_111022,0.0,636149119f0c3ee5c09c95d6
0.0,0.0,63403b7f3fd164408c5ad4b0:TSS_RECONF_111022,0.0,63403b7f3fd164408c5ad4b0
0.0,0.0,5c78b032419dcc0014119082:TSS_RECONF_111022,0.0,5c78b032419dcc0014119082
0.0,0.0,61363ce02e6022a741d63a6e:TSS_RECONF_111022,0.0,61363ce02e6022a741d63a6e
0.0,0.0,5e4c86f49b48ae0c4af25e8e:TSS_RECONF_111022,0.0,5e4c86f49b48ae0c4af25e8e
0.0,0.0,6045267ffa48c161ab686843:TSS_RECONF_111022,0.0,6045267ffa48c161ab686843
0.0,0.0,56e130548b1c33000a388671:TSS_RECONF_111022,0.0,56e130548b1c33000a388671
0.0,0.0,5d8a65fe43543b0001a33e4b:TSS_RECONF_111022,0.0,5d8a65fe43543b0001a33e4b
0.0,0.0,630cc9747cb664e8a03c29f0:TSS_RECONF_111022,0.0,630cc9747cb664e8a03c29f0
0.0,0.0,5694e7b5e0c800000b5a3841:TSS_RECONF_111022,0.0,5694e7b5e0c800000b5a3841
0.0,0.0,627809c52874925390a423a6:TSS_RECONF_111022,0.0,627809c52874925390a423a6
0.0,0.0,62b20575b356fba8715fae82:TSS_RECONF_111022,0.0,62b20575b356fba8715fae82
0.0,0.0,5f4d2345633ed299896c6983:TSS_RECONF_111022,0.0,5f4d2345633ed299896c6983
0.0,0.0,6314686dea012501d8934177:TSS_RECONF_111022,0.0,6314686dea012501d8934177
0.0,0.0,63239ff05c372a3f18a6d8c8:TSS_RECONF_111022,0.0,63239ff05c372a3f18a6d8c8
0.0,0.0,6348845d31edff3dff1b7799:TSS_RECONF_111022,0.0,6348845d31edff3dff1b7799
0.0,0.0,6272923eedb5716b8b254954:TSS_RECONF_111022,0.0,6272923eedb5716b8b254954
0.0,0.0,5dd34f284b0e0c362eb11615:TSS_RECONF_111022,0.0,5dd34f284b0e0c362eb11615
,,5d23ac815173fe001528bcd6:TSS_RECONF_111022,0.0,5d23ac815173fe001528bcd6
0.0,0.0,631f6e0b69d34cd131d923f8:TSS_RECONF_111022,0.0,631f6e0b69d34cd131d923f8
0.0,0.0,5d7c4978e34654001a80f1ba:TSS_RECONF_111022,0.0,5d7c4978e34654001a80f1ba
0.0,0.0,6312c7a256366f293e745218:TSS_RECONF_111022,0.0,6312c7a256366f293e745218
0.0,0.0,62728f0c68b9ecf571a2dbd4:TSS_RECONF_111022,0.0,62728f0c68b9ecf571a2dbd4
0.0,0.0,634265d4ff46e9c74d9fe152:TSS_RECONF_111022,0.0,634265d4ff46e9c74d9fe152
0.0,0.0,5977e3867412f8000194e1fe:TSS_RECONF_111022,0.0,5977e3867412f8000194e1fe
0.0,0.0,5d76d2f7daf4bf00164d585b:TSS_RECONF_111022,0.0,5d76d2f7daf4bf00164d585b
,,53a9a1a6fdf99b5cf1a36ee0:TSS_RECONF_111022,0.0,53a9a1a6fdf99b5cf1a36ee0
0.0,0.0,629513753a4424c933282660:TSS_RECONF_111022,0.0,629513753a4424c933282660
0.0,0.0,6361a6a7be16d8144319fd3a:TSS_RECONF_111022,0.0,6361a6a7be16d8144319fd3a
0.0,0.0,5ff0f1b0dd8cf14ba8957c5b:TSS_RECONF_111022,0.0,5ff0f1b0dd8cf14ba8957c5b
0.0,0.0,591be15e630b1e00018f7dd0:TSS_RECONF_111022,0.0,591be15e630b1e00018f7dd0
,,56bd7bf3d4e2180005a86846:TSS_RECONF_111022,0.0,56bd7bf3d4e2180005a86846
0.0,0.0,62cb3dc1aece812831e4c77a:TSS_RECONF_111022,0.0,62cb3dc1aece812831e4c77a
0.0,0.0,636159bba71cce7040de4058:TSS_RECONF_111022,0.0,636159bba71cce7040de4058
0.0,0.0,5d0d16d991270800010b7dd7:TSS_RECONF_111022,0.0,5d0d16d991270800010b7dd7
0.0,0.0,5aadbe52811b2000016f7633:TSS_RECONF_111022,0.0,5aadbe52811b2000016f7633
0.0,0.0,5ef246c6d2b9060809858e7e:TSS_RECONF_111022,0.0,5ef246c6d2b9060809858e7e
0.0,0.0,5e519c1b7243ea1d0aa361d6:TSS_RECONF_111022,0.0,5e519c1b7243ea1d0aa361d6
