condition,block_type,v,a,v_star,a_star
0,fixed,2.3929654363713313,0.6979903813215605,2.398800101316164,0.7052999715128739
0,varying,2.5037744146904823,0.7905352127047789,2.398800101316164,0.7052999715128739
1,fixed,2.954311319092024,1.1600834639833073,2.9617950115825833,1.1687022139143186
1,varying,2.857116521863394,1.0824913538538214,2.9617950115825833,1.1687022139143186
