"subj_idx","trialNum","rt","intervalType","blockType","isi","scaledRunningTime","response","congruency"
"5694e7b5e0c800000b5a3841",2,1.379,"Speed","Varying","ISI_250",-0.396023250772458,1,"incongruent"
"5694e7b5e0c800000b5a3841",3,0.9,"Speed","Varying","ISI_250",0.815870152424217,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,0.892,"Accuracy","Varying","ISI_250",-1.28429871020575,1,"incongruent"
"5694e7b5e0c800000b5a3841",2,0.966,"Accuracy","Varying","ISI_250",-0.620695938166808,1,"congruent"
"5694e7b5e0c800000b5a3841",3,0.793,"Accuracy","Varying","ISI_250",0.283946405778653,1,"incongruent"
"5694e7b5e0c800000b5a3841",4,0.785,"Accuracy","Varying","ISI_250",1.05988552151477,1,"congruent"
"5694e7b5e0c800000b5a3841",5,0.815,"Accuracy","Varying","ISI_250",1.82987304288282,1,"congruent"
"5694e7b5e0c800000b5a3841",1,1.574,"Speed","Varying","ISI_250",-1.28429871020575,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,0.85,"Accuracy","Varying","ISI_250",-1.28429871020575,1,"congruent"
"5694e7b5e0c800000b5a3841",2,0.944,"Accuracy","Varying","ISI_250",-0.651941808599135,1,"incongruent"
"5694e7b5e0c800000b5a3841",3,1.647,"Accuracy","Varying","ISI_250",0.236333650834155,1,"congruent"
"5694e7b5e0c800000b5a3841",1,0.723,"Speed","Varying","ISI_250",-1.28429871020575,1,"congruent"
"5694e7b5e0c800000b5a3841",2,0.808,"Speed","Varying","ISI_250",-0.746423369192123,1,"incongruent"
"5694e7b5e0c800000b5a3841",3,1.046,"Speed","Varying","ISI_250",0.040674985984109,1,"incongruent"
"5694e7b5e0c800000b5a3841",2,2.979,"Accuracy","Varying","ISI_250",-0.325348067651719,1,"congruent"
"5694e7b5e0c800000b5a3841",2,0.669,"Speed","Varying","ISI_250",1.41326143711846,1,"congruent"
"5694e7b5e0c800000b5a3841",3,0.672,"Speed","Varying","ISI_250",2.09695084014961,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,1.31,"Accuracy","Varying","ISI_250",-1.28429871020575,1,"incongruent"
"5694e7b5e0c800000b5a3841",2,0.677,"Accuracy","Varying","ISI_250",-0.309725132435556,1,"congruent"
"5694e7b5e0c800000b5a3841",3,1.911,"Accuracy","Varying","ISI_250",0.379915864963657,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,0.934,"Speed","Varying","ISI_250",-1.28429871020575,1,"congruent"
"5694e7b5e0c800000b5a3841",2,1.805,"Speed","Varying","ISI_250",-0.589450067734481,1,"incongruent"
"5694e7b5e0c800000b5a3841",3,1.065,"Speed","Varying","ISI_250",0.939365735561508,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,1.093,"Accuracy","Varying","ISI_250",-1.28429871020575,1,"congruent"
"5694e7b5e0c800000b5a3841",2,1.125,"Accuracy","Varying","ISI_250",-0.471162129669244,1,"incongruent"
"5694e7b5e0c800000b5a3841",3,0.839,"Accuracy","Varying","ISI_250",0.551768152341454,1,"incongruent"
"5694e7b5e0c800000b5a3841",4,0.757,"Accuracy","Varying","ISI_250",1.36192893569393,1,"congruent"
"5694e7b5e0c800000b5a3841",2,0.966,"Speed","Varying","ISI_250",1.18784480042811,1,"incongruent"
"5694e7b5e0c800000b5a3841",2,1.114,"Accuracy","Varying","ISI_250",2.56861469381855,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,1.62,"Accuracy","Varying","ISI_250",-1.28429871020575,1,"congruent"
"5694e7b5e0c800000b5a3841",2,2.034,"Accuracy","Varying","ISI_250",-0.0791008506731437,1,"incongruent"
"5694e7b5e0c800000b5a3841",3,0.655,"Accuracy","Varying","ISI_250",1.62007934140863,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,0.98,"Speed","Varying","ISI_250",-1.28429871020575,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,2.933,"Accuracy","Varying","ISI_250",-1.28429871020575,1,"incongruent"
"5694e7b5e0c800000b5a3841",2,1.415,"Accuracy","Varying","ISI_250",0.897704574985073,1,"congruent"
"5694e7b5e0c800000b5a3841",2,0.571,"Speed","Varying","ISI_250",0.79131982565596,1,"congruent"
"5694e7b5e0c800000b5a3841",3,0.673,"Speed","Varying","ISI_250",1.40210219767835,1,"congruent"
"5694e7b5e0c800000b5a3841",1,0.893,"Accuracy","Varying","ISI_250",-1.28429871020575,1,"congruent"
"5694e7b5e0c800000b5a3841",2,0.738,"Accuracy","Varying","ISI_250",-0.6199519888708,1,"incongruent"
"5694e7b5e0c800000b5a3841",3,0.73,"Accuracy","Varying","ISI_250",0.115069915584887,1,"incongruent"
"5694e7b5e0c800000b5a3841",4,0.794,"Accuracy","Varying","ISI_250",0.844140225672512,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,1.222,"Speed","Varying","ISI_250",-1.28429871020575,1,"congruent"
"5694e7b5e0c800000b5a3841",2,1.258,"Speed","Varying","ISI_250",-0.37519267048424,1,"incongruent"
"5694e7b5e0c800000b5a3841",3,1.237,"Speed","Varying","ISI_250",0.746682867895493,1,"incongruent"
"5694e7b5e0c800000b5a3841",1,1.85,"Accuracy","Varying","ISI_250",-1.28429871020575,1,"incongruent"
"5694e7b5e0c800000b5a3841",2,0.755,"Accuracy","Varying","ISI_250",0.0920074874086459,1,"congruent"
"5694e7b5e0c800000b5a3841",3,1.456,"Accuracy","Varying","ISI_250",0.839676529896466,1,"congruent"
"5694e7b5e0c800000b5a3841",1,0.948,"Speed","Varying","ISI_250",-1.28429871020575,1,"incongruent"
"5694e7b5e0c800000b5a3841",2,0.671,"Speed","Varying","ISI_250",-0.579034777590372,1,"congruent"
"5694e7b5e0c800000b5a3841",3,0.501,"Speed","Varying","ISI_250",0.106142524032794,1,"congruent"
"5694e7b5e0c800000b5a3841",4,0.993,"Speed","Varying","ISI_250",0.664848445334637,1,"incongruent"
"5694e7b5e0c800000b5a3841",5,0.744,"Speed","Varying","ISI_250",1.58957742027231,1,"congruent"
"5694e7b5e0c800000b5a3841",1,0.822,"Accuracy","Varying","ISI_1000",-1.28429871020575,1,"congruent"
"5694e7b5e0c800000b5a3841",2,1.056,"Accuracy","Varying","ISI_1000",-0.672772388887353,1,"incongruent"
"5694e7b5e0c800000b5a3841",3,0.92,"Accuracy","Varying","ISI_1000",0.298825391698809,1,"incongruent"
"5694e7b5e0c800000b5a3841",4,0.625,"Accuracy","Varying","ISI_1000",1.16924606802791,1,"congruent"
"5694e7b5e0c800000b5a3841",5,0.481,"Accuracy","Varying","ISI_1000",1.82020170203472,1,"congruent"
